"import_id","id","empid","age","agegroup","attrition","businesstravel","dailyrate","department","distancefromhome","education","educationfield","employeecount","employeenumber","environmentsatisfaction","gender","hourlyrate","jobinvolvement","joblevel","jobrole","jobsatisfaction","maritalstatus","monthlyincome","salaryslab","monthlyrate","numcompaniesworked","over18","overtime","percentsalaryhike","performancerating","relationshipsatisfaction","standardhours","stockoptionlevel","totalworkingyears","trainingtimeslastyear","worklifebalance","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","managertenuremissing","attritionflag","tenuregroup","ishighearner","longcommute","salarymin","salarymax"
"1","1","405","18","NULL","1","Travel_Rarely","230","Research & Development","3","3","Life Sciences","1","405","3","Male","54","3","1","Laboratory Technician","3","NULL","1420","5000.0000","25233","1","1","0","0.1300","3","3","80","0","0.0000","2","0.0300","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"2","2","411","18","NULL","0","Travel_Rarely","812","Sales","10","3","Medical","1","411","4","Female","69","2","1","Sales Representative","3","NULL","1200","5000.0000","9724","1","1","0","0.1200","3","1","80","0","0.0000","2","0.0300","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"3","3","614","18","NULL","1","Travel_Frequently","1306","Sales","5","3","Marketing","1","614","2","Male","69","3","1","Sales Representative","2","NULL","1878","5000.0000","8059","1","1","1","0.1400","3","4","80","0","0.0000","3","0.0300","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"4","4","1012","18","NULL","0","Non-Travel","287","Research & Development","5","2","Life Sciences","1","1012","2","Male","73","3","1","Research Scientist","4","NULL","1051","5000.0000","13493","1","1","0","0.1500","3","4","80","0","0.0000","2","0.0300","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"5","5","1156","18","NULL","1","Non-Travel","247","Research & Development","8","1","Medical","1","1156","3","Male","80","3","1","Laboratory Technician","3","NULL","1904","5000.0000","13556","1","1","0","0.1200","3","4","80","0","0.0000","0","0.0300","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"6","6","1368","18","NULL","0","Non-Travel","1124","Research & Development","1","3","Life Sciences","1","1368","4","Female","97","3","1","Laboratory Technician","4","NULL","1611","5000.0000","19305","1","1","0","0.1500","3","3","80","0","0.0000","5","0.0400","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"7","7","1624","18","NULL","1","Travel_Frequently","544","Sales","3","2","Medical","1","1624","2","Female","70","3","1","Sales Representative","4","NULL","1569","5000.0000","18420","1","1","1","0.1200","3","3","80","0","0.0000","2","0.0400","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"8","8","1839","18","NULL","0","Non-Travel","1431","Research & Development","14","3","Medical","1","1839","2","Female","33","3","1","Research Scientist","3","NULL","1514","5000.0000","8018","1","1","0","0.1600","3","3","80","0","0.0000","4","0.0100","0","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"9","9","167","19","NULL","1","Travel_Rarely","528","Sales","22","1","Marketing","1","167","4","Male","50","3","1","Sales Representative","3","NULL","1675","5000.0000","26820","1","1","1","0.1900","3","4","80","0","0.0000","2","0.0200","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"10","10","201","19","NULL","0","Travel_Rarely","1181","Research & Development","3","1","Medical","1","201","2","Female","79","3","1","Laboratory Technician","2","NULL","1483","5000.0000","16102","1","1","0","0.1400","3","4","80","0","1.0000","3","0.0300","1","0","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"11","11","235","19","NULL","1","Travel_Frequently","602","Sales","1","1","Technical Degree","1","235","3","Female","100","1","1","Sales Representative","1","NULL","2325","5000.0000","20989","0","1","0","0.2100","4","1","80","0","1.0000","5","0.0400","0","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"12","12","243","19","NULL","1","Travel_Rarely","303","Research & Development","2","3","Life Sciences","1","243","2","Male","47","2","1","Laboratory Technician","4","NULL","1102","5000.0000","9241","1","1","0","0.2200","4","3","80","0","1.0000","3","0.0200","1","0","1","0","0","1","NULL","0","0","5000.0000","5000.0000"
"13","13","566","19","NULL","1","Travel_Rarely","489","Human Resources","2","2","Technical Degree","1","566","1","Male","52","2","1","Human Resources","4","NULL","2564","5000.0000","18437","1","1","0","0.1200","3","3","80","0","1.0000","3","0.0400","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"14","14","959","19","NULL","1","Travel_Rarely","419","Sales","21","3","Other","1","959","4","Male","37","2","1","Sales Representative","2","NULL","2121","5000.0000","9947","1","1","1","0.1300","3","2","80","0","1.0000","3","0.0400","1","0","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"15","15","1193","19","NULL","0","Travel_Rarely","645","Research & Development","9","2","Life Sciences","1","1193","3","Male","54","3","1","Research Scientist","1","NULL","2552","5000.0000","7172","1","1","0","0.2500","4","3","80","0","1.0000","4","0.0300","1","1","0","0","0","0","NULL","0","0","5000.0000","5000.0000"
"16","16","1248","19","NULL","1","Non-Travel","504","Research & Development","10","3","Medical","1","1248","1","Female","96","2","1","Research Scientist","2","NULL","1859","5000.0000","6148","1","1","1","0.2500","4","2","80","0","1.0000","2","0.0400","1","1","0","0","0","1","NULL","0","0","5000.0000","5000.0000"
"17","17","1269","19","NULL","0","Travel_Rarely","265","Research & Development","25","3","Life Sciences","1","1269","2","Female","57","4","1","Research Scientist","4","NULL","2994","5000.0000","21221","1","1","1","0.1200","3","4","80","0","1.0000","2","0.0300","1","0","0","1","0","0","NULL","0","0","5000.0000","5000.0000"
"18","18","137","20","NULL","1","Travel_Frequently","871","Research & Development","6","3","Life Sciences","1","137","4","Female","66","2","1","Laboratory Technician","4","NULL","2926","5000.0000","19783","1","1","1","0.1800","3","2","80","0","1.0000","5","0.0300","1","0","1","0","0","1","NULL","0","0","5000.0000","5000.0000"
